Peptide_ID,n_reps,Kp_eff_nm,Kp_ads_nm,HC50_pred_mean_uM,HC50_pred_low_uM,HC50_pred_high_uM,HC50_cal_uM,HC50_gamma_uM,HC50_rank_uM,HC50_rank_enh_uM,HC50_rank_knn_uM,HC50_rank_combo_uM,HC50_rank_v3_uM,HC50_exp_uM,HC50_resid_log10,HC50_gamma_resid_log10,HC50_rank_resid_log10,HC50_rank_enh_resid_log10,HC50_rank_knn_resid_log10,HC50_rank_combo_resid_log10,HC50_rank_v3_resid_log10,HC50_rank_score,HC50_rank_enh_score,HC50_rank_knn_score,HC50_rank_combo_score,HC50_rank_v3_score,DeltaG_ads_kJ_per_mol,z_ads_nm,ESS_mean_median,QC_pass_fraction,Overlap_min_adjacent_median,JS_mean_adjacent_median,theta_at_1uM,Gamma_star_obs,Gamma_star_model,LP_star_obs,LP_star_model,LP_star_Q25,LP_star_Q50,LP_star_Q75,sequence_length,HC50_meta_uM,HC50_exp_source,replicate_ids,replicate_tags
solvia_215,2,235.40108922464125,235.40108922464125,149.99999999999997,149.99999999999997,149.99999999999997,12.585706178041814,6.2586436164650845,12.000000000000002,9.724049923259345,12.000000000000002,10.466804272653903,11.403016640979725,12.0,0.020696342579112237,-0.2827010236538158,0.0,-0.09133406620331197,0.0,-0.059367143032152736,-0.022161487937224278,-0.19208310874783321,0.9878471798443129,1.0791812460476249,1.0198141030154722,1.1373972896592324,-21.474394036101227,0.4156985122340632,423.96774410000916,1.0,0.26239875375362687,0.22316977049383366,0.0003590830869801633,0.0017011419785559372,0.0008872367820658251,948.1296953095064,1817.894905180778,1530.8535439567656,2183.9458457482842,3488.733214406076,22,12.0,meta,solvia_215_run_1;solvia_215_run_2,pmf_midplane
solvia_32,2,125.2438535854338,125.2438535854338,149.99999999999997,149.99999999999997,149.99999999999997,12.585706178041814,13.323101901111373,15.717414547424353,17.91488411146036,21.999999999999996,17.112855759100196,11.403016640979725,22.0,-0.24254509219546905,-0.21781733123547076,-0.1460415729695661,-0.08920867769300833,0.0,-0.1091001910398035,-0.28540292271180556,-0.04493917054411714,1.2532140031291978,1.3424226808222062,1.2333224897824027,1.1190013399192906,-22.62076711966917,0.28532182107581366,409.08953396079676,1.0,0.21752322360298426,0.2194452827381983,8.849126819245876e-05,0.0016593192449481653,0.0010048763357690723,972.0270711720917,1605.07633466364,1530.8535439567656,2183.9458457482842,3488.733214406076,25,22.0,meta,solvia_32_run_1;solvia_32_run_2,pmf_midplane
solvia_482,2,615.9408649516724,615.9408649516724,83.38117734936063,70.13370057422853,96.62865412449266,6.9960733259883225,5.062163324931298,15.229759360157988,22.775931203804024,29.999999999999996,19.78345124178693,11.403016640979725,30.0,-0.6322669020397782,-0.7727851016548051,-0.2944282134572349,-0.11964511239378672,0.0,-0.18081919776599342,-0.42010149660926177,-0.18821372558109134,1.3574761423258757,1.4771212547196624,1.296302056953669,1.065974675634039,-28.376970544662743,0.5069150925543493,364.490301614492,1.0,0.2360184796304072,0.2240284712828679,0.0002216967331358999,0.011127846361380193,0.0018776991912016333,144.94298118673902,858.978495258484,1530.8535439567656,2183.9458457482842,3488.733214406076,26,30.0,meta,solvia_482_run_1;solvia_482_run_2,pmf_midplane
solvia_490,2,11.351510163038625,11.351510163038625,149.99999999999997,149.99999999999997,149.99999999999997,12.585706178041814,51.842216229415875,15.717414547347367,19.095330343251764,13.199999999999998,17.83758485494439,13.199999999999998,13.2,-0.02069634257911268,0.5941096279304627,0.07580717664466308,0.16035324472738877,0.0,0.13076212089843486,0.0,0.07490962411212901,1.2809271759332386,1.1205739312058498,1.2513360521042847,1.3287426039944448,-13.024927291664252,0.4956180957907882,554.1172944223354,1.0,0.2898270421654817,0.21500015452443894,1.122441654092247e-05,9.023570610547869e-05,0.0003543953778435037,17874.33484391523,4551.140693823294,1530.8535439567656,2183.9458457482842,3488.733214406076,18,13.2,meta,solvia_490_run_1;solvia_490_run_2,pmf_midplane
solvia_515,2,27.533356938377803,27.533356938377803,149.99999999999997,149.99999999999997,149.99999999999997,12.585706178041814,36.883608584347215,15.717414547380436,11.855887867724958,7.999999999999999,13.085506628470272,11.403016640979725,8.0,0.19678760163479359,0.6637434175697572,0.29329112085948306,0.17084409613162022,0.0,0.21370055478637218,0.15392977111845707,0.05054473808919807,1.0739340831235638,0.9030899869919435,1.1167905417783157,1.2190338118891786,-18.048485244855,0.5952314237811768,516.4657805045334,1.0,0.2744017589440383,0.21452279218957782,1.0248165805721013e-05,0.000132647784122306,0.0006115661186435153,12159.292644642275,2637.3325412204863,1530.8535439567656,2183.9458457482842,3488.733214406076,20,8.0,meta,solvia_515_run_1;solvia_515_run_2,pmf_midplane
solvia_524,2,374.432446895706,374.432446895706,40.91176158610448,37.52127138100641,44.04201024146582,3.4326894036587268,4.572233756298404,15.229759360130322,8.351108483795612,7.0,10.30567033719565,11.403016640979725,7.0,-0.30946353061108056,-0.18496961433751924,0.33759500124738173,0.07664608534293149,0.0,0.1679782059094891,0.2119217180961438,-0.1544395207727794,0.9217441253571883,0.8450980400142568,1.013076245923746,1.1391831047696284,-22.85694277831343,0.6502141874999524,418.60524768745813,1.0,0.2635346294413793,0.21906778516471875,0.0004323892300350946,0.001578419231023955,0.001030985955668328,1021.8471709573166,1564.4279312814701,1530.8535439567656,2183.9458457482842,3488.733214406076,24,7.0,meta,solvia_524_run_1;solvia_524_run_2,pmf_midplane
solvia_527,2,410.84199140519814,410.84199140519814,89.73015861026514,82.29392970993517,96.59560994860449,7.528782743852573,5.391162501302031,15.229759360157988,8.097209689183147,12.500000000000002,10.100911486096171,11.403016640979725,12.5,-0.22018524801074912,-0.3652275904068093,0.08578302825437101,-0.18857462689033233,0.0,-0.09254944758968597,-0.03989025489765585,-0.1849698148336591,0.9083353861177241,1.0969100130080565,1.0043605654183705,1.0813226189499099,-25.228325289688158,0.5416470899245839,315.84663139828484,1.0,0.22362410626489534,0.21109780841920434,0.0006178688739659743,0.003092684987651125,0.0013338533867011584,521.521988901767,1209.2057807008534,1530.8535439567656,2183.9458457482842,3488.733214406076,25,12.5,meta,solvia_527_run_1;solvia_527_run_2,pmf_midplane
solvia_617,2,26.615960802480814,26.615960802480814,149.99999999999997,149.99999999999997,149.99999999999997,12.585706178041814,44.30734537662328,15.717414547424353,13.658112643841035,13.999999999999998,14.346215041593991,11.403016640979725,14.0,-0.04625044705150083,0.5003476948810126,0.050253072174402114,-0.01073734548322558,0.0,0.010609300696944102,-0.08910827756783735,-0.018474291759135678,1.1353906901950124,1.146128035678238,1.156737336375182,1.105179593746823,-19.424930339858285,0.0502486502007665,387.14760890419944,1.0,0.29217748458386755,0.210954251269844,1.8245688945726e-05,0.00022439905906187252,0.0007101804722888337,7187.655922219055,2271.1173972557167,1530.8535439567656,2183.9458457482842,3488.733214406076,18,14.0,meta,solvia_617_run_1;solvia_617_run_2,pmf_midplane
solvia_624,2,200.26021385690072,200.26021385690072,149.49884516267676,137.10939160344185,149.99999999999997,12.543656927826785,6.909673980545762,15.717414547396162,12.909432471192881,11.000000000000002,13.83002723349472,11.403016640979725,11.0,0.05703148228121169,-0.20193512863644403,0.154988422693636,0.06951446492794933,0.0,0.0994303501459397,0.01562707295217547,0.028857542041106344,1.1109071500861745,1.0413926851582251,1.1408230353041648,1.2653705963334794,-20.89696914876444,0.6518877292542941,343.67828579575985,1.0,0.20384888036600735,0.2102865744118651,0.00019258064010369528,0.0013265945487038158,0.0008333032578102367,1215.822292788992,1935.5537263167028,1530.8535439567656,2183.9458457482842,3488.733214406076,19,11.0,meta,solvia_624_run_1;solvia_624_run_2,pmf_midplane
solvia_8,2,52.720940376394694,52.720940376394694,149.99999999999997,149.99999999999997,149.99999999999997,12.585706178041814,22.401043514415214,7.143274903852726,7.40072496740726,6.0,7.309578753256392,7.429670248402685,6.0,0.3217263382430935,0.5721169992896509,0.07574611357667616,0.09112301447204474,0.0,0.08574109915866579,0.09281828848095586,-0.30790313329806274,0.8692742648556884,0.7781512503836436,0.8638923495423094,0.9634361463549683,-19.43836122003918,0.13039547986041589,564.280116592755,1.0,0.26197816043679106,0.22431520931814797,8.703197131541626e-05,0.00019049573032698094,0.000711217190727501,8466.87336791195,2267.8068624249927,1530.8535439567656,2183.9458457482842,3488.733214406076,26,6.0,meta,solvia_8_run_1;solvia_8_run_2,pmf_midplane
solvia_850,2,39.27976429806703,39.27976429806703,149.99999999999997,149.99999999999997,149.99999999999997,12.585706178041814,44.14594068694531,7.143274903852726,10.249980383254552,9.2,9.033042418100331,7.429670248402685,9.2,0.1360897612811819,0.6811029481034704,-0.10989046338523545,0.04693520688012487,0.0,-0.007953777712751187,-0.09281828848095575,-0.3991527844285659,1.01072303422568,0.9637878273455552,0.955834049632804,0.8847699599576421,-22.974769454590785,0.16036598247895878,369.81719638602164,1.0,0.28500559926371966,0.20780579203364574,5.2263224328415135e-05,0.00021762438058836446,0.0010442644562486032,7411.408691644944,1544.535214384885,1530.8535439567656,2183.9458457482842,3488.733214406076,19,9.2,meta,solvia_850_run_1;solvia_850_run_2,pmf_midplane
solvia_858,2,159.7488096278863,159.7488096278863,149.99999999999997,149.99999999999997,149.99999999999997,12.585706178041814,7.908330979221823,15.717414547347367,13.432360220269317,9.0,14.191633998189475,11.403016640979725,9.0,0.14563507918741225,-0.05615767233819746,0.242138598411188,0.17390982047279524,0.0,0.19778989275123282,0.10277724867107574,0.17986858689200916,1.12815232991212,0.9542425094393249,1.1520324021905577,1.1111197718680164,-20.05892076988427,0.1853010463461539,369.9755237575484,1.0,0.229681580403089,0.2010904494288528,6.0420997690378725e-05,0.0008658267267712313,0.0007608049251070175,1862.847583628142,2119.995773659818,1530.8535439567656,2183.9458457482842,3488.733214406076,17,9.0,meta,solvia_858_run_1;solvia_858_run_2,pmf_midplane
solvia_941,2,506.76339136316653,506.76339136316653,101.34487883803934,85.24335603199566,109.58623138682194,8.503312451365407,5.950661445726833,5.90091517723272,5.734854991813232,4.0,5.792437638428035,5.30224157997728,4.0,0.3275281460469268,0.17250525108350068,0.1688593805853068,0.15646244973207424,0.0,0.16080137553070573,0.12239951978335806,-0.6843265662341542,0.7585224410600366,0.6020599913279624,0.7628613668586681,0.6738335858035961,-28.069464627933012,0.4209648033046125,400.02048778804215,1.0,0.2647227640802421,0.20640595452080474,0.0004247524550972551,0.001220720035865512,0.001816022913362795,1321.2720184959321,888.1513630352719,1530.8535439567656,2183.9458457482842,3488.733214406076,18,4.0,meta,solvia_941_run_1;solvia_941_run_2,pmf_midplane
solvia_974,2,86.13021581409708,86.13021581409708,149.99999999999997,149.99999999999997,149.99999999999997,12.585706178041814,13.833297877571194,7.143274903838169,10.91144342543612,6.290000000000001,9.407787752336228,11.403016640979725,6.29,0.30122694318146814,0.34227508341981794,0.05524671851416574,0.2392315597935869,0.0,0.17483686534578957,0.25836911266513163,-0.19709521777090605,1.0378822052388559,0.798650645445269,0.9734875107910586,1.1476469563823324,-19.519556073228514,1.0578915580472663,432.92931472643113,1.0,0.26020199663338944,0.2011935768041039,0.00011377826920075218,0.00032625488903564246,0.0007175168623281365,4943.690592879503,2247.8959178367504,1530.8535439567656,2183.9458457482842,3488.733214406076,18,6.29,meta,solvia_974_run_1;solvia_974_run_2,pmf_midplane
