path,peptide,run,qc_pass,qc_reasons,erg_frac,overlap_adj_min,overlap_adj_mean,overlap_pass_frac,js_pass_frac,js_mean_adjacent,js_max_adjacent,ess_mean,ess_min,delta_g_ads,kp_eff,theta,hc50_range_low,hc50_range_high
simulations/solvia_490_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_490_run_2,pmf,True,[],1.0,0.28175464297583963,0.4679760378479669,1.0,1.0,0.21603903509783326,0.36680856230548065,556.6792869989528,25.64651509419688,-12.462845243072875,9.513576884825927,1.0795370903470075e-05,4540.6909217134435,6256.063047694077
simulations/solvia_482_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_482_run_1,pmf,True,[],1.0,0.23601847963040726,0.46062279622195185,1.0,1.0,0.22402847128286796,0.4146564395510361,364.490301614492,79.25337325078337,-28.376970544662743,615.9408649516724,0.00022169673313595864,70.13370057422856,96.62865412449268
simulations/solvia_527_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_527_run_1,pmf,True,[],1.0,0.26853185780236966,0.4738186044004736,1.0,1.0,0.2110785582549906,0.37552076139928015,328.7425807615165,22.66108877531531,-22.66869356323003,176.41203971083806,0.00020266900698465807,244.87111120510454,337.377975438144
simulations/solvia_32_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_32_run_2,pmf,True,[],0.9722222222222222,0.2237956034066102,0.480575595976566,1.0,1.0,0.2077900569069522,0.4263926809111592,279.96225152622554,13.752288815086343,-22.019146746723976,176.32694300046956,0.00015792126306781354,244.98928784716074,337.54079658942146
simulations/solvia_624_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_624_run_1,pmf,True,[],1.0,0.18888374096567698,0.4766869189305934,1.0,1.0,0.21125958182928997,0.4631563372113271,352.27501879890497,55.39907336815557,-19.257132730644056,116.35009071474958,9.557870452470616e-05,371.2778557247463,511.53837899853943
simulations/solvia_941_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_941_run_2,pmf,True,[],1.0,0.22618023032949447,0.4769214266259546,1.0,1.0,0.2094210718668612,0.4248649239129892,421.8776039515934,76.82430328233721,-28.011217258485072,345.450832471292,0.00032484186773083844,125.04880038910268,172.28945831387477
simulations/solvia_126_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_126_run_2,pmf,True,[],1.0,0.2718144176340818,0.46205274477561803,1.0,1.0,0.22092676078121565,0.37406284824537295,517.3637901228095,118.79503274423664,-26.822038487824972,258.65128019590406,0.00013397945447944092,167.01333224112926,230.10725775444476
simulations/solvia_14_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_14_run_2,pmf,True,[],1.0,0.29487708538191026,0.4752363032685247,1.0,1.0,0.20999518730634759,0.35237533127354204,214.99141811759498,44.720096792510304,-26.025248719299384,191.39608248326405,0.0005596964021423696,225.70060804525224,310.96528219568086
simulations/solvia_215_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_215_run_1,pmf,True,[],1.0,0.2672210555788884,0.4459286900225701,1.0,1.0,0.23539628107205027,0.37880012303609323,482.0705385477874,104.92637233945113,-20.526826072452682,206.76654307353328,0.0002922181386095077,208.92264073201233,287.84897167521694
simulations/solvia_68_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_68_run_2,pmf,True,[],1.0,0.2699038349360843,0.462297947938449,1.0,1.0,0.2201339978763957,0.376072485099607,596.6616518550176,126.1430483866329,-6.3416392611467405,2.3287678968467143,1.7870771374138001e-06,18549.81436855292,25557.522018895135
simulations/solvia_1023_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1023_run_2,pmf,True,[],1.0,0.27904781096279613,0.4759913563245684,1.0,1.0,0.21049504996898935,0.3669334768884537,416.53619056976345,74.02663760166341,-23.028285892971606,91.25855866163269,8.594598180535866e-05,473.36066696080223,652.1858078126609
simulations/solvia_858_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_858_run_2,pmf,True,[],1.0,0.15145647572540438,0.4956274798125306,1.0,0.9722222222222222,0.20398281337342974,0.5040911279237141,362.9997768574823,58.75709470323933,-8.58009420291803,4.192864744403646,2.741023712715246e-06,10302.791725301897,14194.957488193726
simulations/solvia_515_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_515_run_2,pmf,True,[],1.0,0.2794913418109699,0.47877894851060776,1.0,1.0,0.2060946186215794,0.36462961348688055,400.9345103056889,43.05358681132023,-14.05552322388437,13.348436989995662,5.151638781333305e-06,3236.2000304850662,4458.764486446092
simulations/solvia_1125_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1125_run_2,pmf,True,[],1.0,0.23295845069248813,0.48043806498331626,1.0,1.0,0.2053624882532997,0.41418823832498586,489.78087043040676,150.5609278893105,-7.121267764845952,3.4134334838654645,4.933893015782404e-06,12655.354908229561,17436.26676244962
simulations/solvia_12_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_12_run_2,pmf,True,[],1.0,0.25023882935284353,0.4751325238222853,1.0,1.0,0.21057979791017783,0.3945973538670127,365.74810475300137,32.99507844449351,-15.193602817756664,49.9937298944268,7.527529845679364e-05,864.0726004075882,1190.5000272282325
simulations/solvia_8_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_8_run_2,pmf,True,[],1.0,0.24131037379252446,0.44826990317896753,1.0,1.0,0.2317235148108861,0.4048032005734295,479.3420404698357,45.64746107998099,-20.61263912908929,95.37146614879238,0.00020135729051786003,452.94692362762777,624.0602058869538
simulations/solvia_1564_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1564_run_2,pmf,True,[],1.0,0.27156980716988066,0.47797865250586175,1.0,1.0,0.20764883294148825,0.3752621326542185,486.2767598240573,110.92814255040896,-13.638109978860314,16.311161493649223,1.53609394994889e-05,2648.3835753064695,3648.8840370889134
simulations/solvia_524_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_524_run_2,pmf,True,[],1.0,0.2834718521355383,0.47531443269293794,1.0,1.0,0.20977086007955095,0.3602585836381787,363.6211744179037,40.074851744769475,-16.254973599916326,30.461059921706816,4.682963168296444e-05,1418.1454061343586,1953.8892262295606
simulations/solvia_974_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_974_run_2,pmf,True,[],0.972972972972973,0.2028076198730022,0.4939856126555678,1.0,1.0,0.19637071937557757,0.44726064277037936,441.25236985734796,21.662276516636723,-14.602643469895686,38.968803866457236,5.840387129487182e-05,1108.5331831582137,1527.31238568465
simulations/solvia_1045_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1045_run_1,pmf,True,[],0.9722222222222222,0.3311528141197653,0.47761725899650787,1.0,1.0,0.20843049874783873,0.31777464921081605,405.0652707192864,13.137083317230065,-18.48534392720567,5.207435272182483,3.1503097928321685e-06,8295.487113341916,11429.337800604419
simulations/solvia_1_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1_run_1,pmf,True,[],1.0,0.25740904318261365,0.48042868584536547,1.0,1.0,0.2069543263577433,0.3900407272387296,601.1488928649386,71.9199356096122,-15.163636355920502,53.95547765858474,2.4782016245955838e-05,800.6269996773677,1103.0860884443734
simulations/solvia_164_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_164_run_1,pmf,True,[],1.0,0.20971580568388648,0.4595786597841241,1.0,1.0,0.22544524658206905,0.4353545025743918,408.43177894933666,101.71817100745473,-24.166579940735215,555.6260721195483,0.00047417764884517545,77.74691354774554,107.11796977689384
simulations/solvia_1743_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1743_run_2,pmf,True,[],1.0,0.2651019149680838,0.4767201850892243,1.0,1.0,0.2102040173076377,0.3818587727472478,314.6840449159141,29.053386085666205,-11.752870750796715,11.573977851109426,1.7235734869195254e-05,3732.356563116385,5142.357931404798
simulations/solvia_850_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_850_run_2,pmf,True,[],1.0,0.27345180785061696,0.47872073766588213,1.0,1.0,0.20733985865590074,0.3734685389758835,420.3364651026967,107.30988924910763,-22.171869279550602,19.897163187662557,2.6775044016316474e-05,2171.073925791464,2991.2574088682395
simulations/solvia_617_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_617_run_1,pmf,True,[],1.0,0.2806090316000278,0.4729768056160225,1.0,1.0,0.2113074529656085,0.3690991572664555,406.1585103175022,86.20482090363832,-17.529455825090405,9.522053196300947,4.092286111438946e-06,4536.648903697917,6250.494045094909
simulations/solvia_527_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_527_run_2,pmf,True,[],1.0,0.17871635472742112,0.4777200555934997,1.0,1.0,0.21111705858341812,0.47359914495444927,302.9506820350532,37.496626225983434,-27.78795701614629,956.800579929008,0.0018836720576866713,45.14860578069165,62.204745742286285
simulations/solvia_32_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_32_run_1,pmf,True,[],1.0,0.2112508437993583,0.45154331851889673,1.0,1.0,0.23110050856944447,0.4370794328836076,538.2168163953679,73.51918102865783,-23.222387492614367,88.95987529760437,4.9586131684798634e-05,485.592094744261,669.0379972032041
simulations/solvia_482_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_482_run_2,pmf,True,[],1.0,0.2600071271440426,0.44930065629649835,1.0,1.0,0.22960246584034405,0.38990151369655823,429.49845924888064,156.3899807888622,-27.04724201744737,306.5318018355163,0.0003123727093452151,140.925711248492,194.16431327570012
simulations/solvia_490_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_490_run_1,pmf,True,[],1.0,0.2978994413551239,0.47006727768733025,1.0,1.0,0.21396127395104472,0.35107340612314764,551.555301845718,57.20224681469592,-13.587009340255628,13.544514806738418,1.1670513946272681e-05,3189.3510258825045,4394.216968993673
